Compound Number,GroupID,GroupMembers,row ID,row m/z,row retention time,Dta-ap,Dbh-w,Dax-tl,Dgr-ap,Dfe-w,Dgem-w,Dgi-w,Dac-tl,Dyu-w,Dau-tl,Dre-tl,Dpa-tl,Dpe-w,Dat-ls,Dki-w,Dho-w,Dde-w,Dod-fr,Dod-b,Dod-l,Dod-r,Dod-s,Dje-fr,Dje-ft,Dge-fr,Dps-fr,Dps-ft,Dpo-fr,Dpo-l,Dpo-s,Wdo-w,Wla-w,Wsc-w,Wpi-w,Wli-w,Wpa-w,Win-l,Win-s,Wca-w,Wal-w,Wli-ap,Wli-r,Wst-w,Wnu-w,Wlu-w,Wmi-tl,Wde-w,Wtr,Ega-w,Eal-w,Ech-ft,Ech-b,Ech-l,Ech-s,Ech-fr,Sch-r,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak,IHD,A part,B part,C part,C-12,C-18,olefinic position,M part,Sub No.,Sub Carbon,Sub_An,Acyl part,Correct Acyl part,A_id,B_id,C_id,M_id,R1_id,R2_id,R3_id,R4_id,R5_id,R6_id,R7_id,R8_id,Aglycone Type,Annotation SMILES,Annotation ID,Annotation Formula,Annotation MW,Top K,confidence score,Confidence Level
11,621,[1513],1513,510.3061,1.8,0,693796.1452,0,0,0,0,0,1328804.23,0,0,0,0,0,0,0,887168.904,814386.2149,1043247.512,11500000,0,0,0,0,0,451578.6824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287070.2887,0,0,0,6,0,D,C27H43O8N1,possibly undescribed,none,[M+NH4]+,none,7,"1,2-dihydro-3-ol","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C7,C7*1,"6-7-epoxy-2-4-decadienoyl(0.08),8-methoxy-2-4-6-decatrienoyl(0.08)",benzoyl,A4,B1,C1,none,R92,none,none,,,,,,A4B1C1,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C1(O4)C1CC(C)C(O)C1(O)C2O,PD00007944,C27H34O8,486.561,Top1,1,Low Confidence
12,483,[8889],8889,329.1741,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4356034.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154138.9521,0,0,0,0,0,1403014.492,0,0,0,0,0,0,0,0,0,7,0,D,C20H24O4,possibly undescribed,none,[M+H]+,none,9,"1,2-en-3-one","5-ol-6,7-ene","9,13,14-orthoester",no C-12,no C-18,others,others,1,C0,C0*1,octenoyl(0.02),none,A1,B3,C1,none,none,none,none,,,,,,A1B3C1,OCC1=CC2C3OC4OC3(C(=C)C)CC(C)C2(O4)C2C=C(C)C(=O)C2(O)C1O,PD00000041,C21H26O7,390.432,Top1,1,Low Confidence
13,712,[1213],1213,496.2905,1.9,224415.155,2261544.254,889529.1317,0,0,0,0,2686906.357,1413946.536,0,191702.7233,0,0,0,0,1116599.785,1121739.252,8328270.054,49000000,0,0,0,0,0,2688121.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,D,C26H41O8N1,possibly undescribed,none,[M+NH4]+,none,7,"1,2-dihydro-3-ol","5-ol-4,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C6,C6*1,"nonadienoyl(0.50),4-oxo-2-nonenoyl(0.50),tetradecatrienoyl(0.05)",none,A4,B7,C1,none,none,none,none,,,,,,A4B7C1,,,,0,Top1,1,Low Confidence
14,713,[3089],3089,317.2109,1.9,0,694819.8781,0,0,0,0,0,0,560079.8477,0,0,0,0,0,0,0,0,2421151.664,12000000,0,0,0,0,0,1014750.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140807.6797,0,212961.0576,0,6,0,D,C20H28O3,possibly undescribed,none,[M+H]+,none,7,"1,2-dihydro-3-ol","5-ol-4,7-epoxy","9,13,14-orthoester",no C-12,no C-18,"2,4-olefinic",others,1,C0,C0*1,"6-7-epoxy-2-4-decadienoyl(0.28),8-methoxy-2-4-6-decatrienoyl(0.28)",none,A4,B7,C1,none,none,none,none,,,,,,A4B7C1,,,,0,Top1,1,Low Confidence
15,202,[4491],4491,313.1796,2,0,0,0,0,0,974724.1445,0,0,0,5068059.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060965.522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,D,C20H24O3,possibly undescribed,none,[M+H]+,none,9,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C0,C0*1,6-hydroxy-2-4-heptadienoyl(0.03),none,A1,B1,C1,none,none,none,none,,,,,,A1B1C1,OCC12OC1C1C3OC4OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00000001,C21H26O8,406.431,Top1,1,Low Confidence
16,703,[11981],11981,521.2385,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344346.5499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,D,C27H36O10,possibly undescribed,none,[M+H]+,none,10,"1,2-dihydro-3-ol","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,others,others,1,C7,C7*1,others,benzoyl,A4,B1,C2,none,R92,none,none,,,,,,A4B1C2,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)C(O)C(C)C1(O4)C1CC(C)C(O)C1(O)C2O,PD00008424,C27H34O9,502.56,Top1,1,Low Confidence
17,719,[1307],1307,358.2581,2.1,0,484253.4614,1430492.592,438845.8932,0,0,0,457904.1409,435695.003,0,800463.2483,262471.7073,0,5399470.832,0,0,0,318298.8326,0,0,0,0,0,0,0,638975.8371,0,0,0,0,0,0,0,0,0,0,0,0,614905.1073,192599.6813,0,0,0,0,0,0,0,191100.4016,0,0,0,0,280275.4184,0,2989498.414,0,6,0,D,C19H35O5N1,possibly undescribed,none,[M+NH4]+,none,3,"1,2-dihydro-3-ol","5-ol-4,7-epoxy","9,13,14-orthoester",with C-12,no C-18,"2,4-olefinic",others,0,others,,"6-7-epoxy-2-4-nonadienoyl(0.64),8-hydroxy-2-4-6-nonatrienoyl(0.64),8-methoxy-9-hydroxy-2-4-6-dodecatrienoyl(0.09)",none,A4,B7,C2,none,none,none,none,,,,,,A4B7C2,,,,0,Top1,1,Low Confidence
18,723,[12495],12495,390.2117,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118513.565,0,0,0,6,0,D,C18H31O8N1,possibly undescribed,none,[M+NH4]+,none,4,"1,2-dihydro-3-ol","5-ol-4,7-epoxy","9,13,14-orthoester",with C-12,no C-18,others,others,0,others,,"decadienoyl(0.58),4-oxo-2-decenoyl(0.58),6-methoxy-7-hydroxy-2-4-dodecadienoyl(0.17)",none,A4,B7,C2,none,none,none,none,,,,,,A4B7C2,,,,0,Top1,1,Low Confidence
19,327,[1541],1541,619.2753,2.2,0,0,0,0,0,0,0,1113582.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682163.184,2583255.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,D,C32H42O12,possibly undescribed,none,[M+H]+,none,12,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,"2,4-olefinic",others,2,"C2,C10",C2*1+C10*1,"acyl(0.02),pentenoyl(0.15)","acyl,acyl",A1,B1,C2,none,R1,R1,none,,,,,,A1B1C2,OCC12OC1C1C3OC4(C)OC3(C(=C)C)C(OC(=O)C)C(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00125069,C24H30O10,478.494,Top1,1,Low Confidence
20,668,[11811],11811,531.2224,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7972223.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,D,C28H34O10,possibly undescribed,none,[M+H]+,none,12,"1,2-dihydro-3-ol","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C8,C8*1,"benzoyl(0.03),benzoyl(0.65),6-methoxy-7-hydroxy-2-4-dodecadienoyl(0.02)",none,A4,B1,C1,none,none,none,none,,,,,,A4B1C1,OCC12OC1C1C3OC4OC3(C(=C)C)CC(C)C1(O4)C1CC(C)C(O)C1(O)C2O,PD00000004,C21H30O8,410.463,Top1,1,Low Confidence
21,720,[11638],11638,505.2433,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1880445.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940937.0254,0,0,0,0,0,0,0,0,0,9,0,D,C27H36O9,possibly known,"genkwanine O, neogenkwanine A, neogenkwanine B, neogenkwanine H, genkwanine A, neogenkwanine I",[M+H]+,none,10,"1,2-dihydro-3-ol","5-ol-4,7-epoxy","9,13,14-orthoester",with C-12,no C-18,others,others,1,C7,C7*1,"acyl(0.02),benzoyl(0.12),benzoyl(0.16)",benzoyl,A4,B7,C2,none,R92,none,none,,,,,,A4B7C2,,,,0,Top1,1,Low Confidence
22,103,[1861],1861,561.2698,2.3,0,1635860.707,0,0,0,0,0,770385.5914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2837041.508,0,0,0,0,0,0,0,0,0,0,624491.5779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,D,C30H40O10,possibly undescribed,none,[M+H]+,none,11,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,"2,4-olefinic",others,1,C10,C10*1,pentenoyl(0.07),none,A1,B1,C1,none,none,none,none,,,,,,A1B1C1,OCC12OC1C1C3OC4OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00000001,C21H26O8,406.431,Top1,1,Low Confidence
23,291,"[11064,11065]",11064,477.212,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1881535.452,0,0,0,0,0,0,8,0,D,C25H32O9,possibly undescribed,none,[M+H]+,"11064, 11065",10,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C5,C5*1,others,2-methylbutyryl,A1,B1,C1,none,R4,none,none,,,,,,A1B1C1,OCC12OC1C1C3OC4(CCCC)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00007568,C25H34O8,462.539,Top1,1,Low Confidence
24,508,[1011],1011,485.217,2.3,0,0,0,0,0,0,2022843.768,8337530.31,0,0,1331405.183,0,0,0,0,0,0,0,2485066.19,0,0,0,2315510.252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188978.244,0,0,0,0,0,0,0,0,0,8,0,D,C27H32O8,possibly known,daphne factor F4,[M+H]+,none,12,"1,2-dihydro-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C7,C7*1,"benzoyl(0.22),feruloyl(0.10),benzoyl(0.55)",benzoyl,A2,B1,C1,none,R92,none,none,,,,,,A2B1C1,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C1(O4)C1CC(C)C(=O)C1(O)C2O,PD00007752,C27H32O8,484.545,Top2,0.986,High Confidence
25,93,[1504],1504,501.2124,2.4,0,0,0,0,0,0,0,360894.2646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,D,C27H32O9,possibly known,daphnegiraldigin,[M+H]+,none,12,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,"2,4-olefinic",others,1,C7,C7*1,"benzoyl(0.03),feruloyl(0.08),benzoyl(0.72)",benzoyl,A1,B1,C1,none,R92,none,none,,,,,,A1B1C1,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00007656,C27H30O8,482.529,Top3,0.593,Low Confidence
26,717,[11196],11196,334.2372,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572899.352,0,9,0,D,C20H31O3N1,possibly undescribed,none,[M+NH4]+,none,6,"1,2-dihydro-3-ol","5-ol-4,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C0,C0*1,decatrienoyl(0.04),none,A4,B7,C1,none,none,none,none,,,,,,A4B7C1,,,,0,Top1,1,Low Confidence
27,62,[968],968,501.2122,2.5,1767930.235,0,0,0,0,0,35100000,123000000,0,0,30300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,D,C27H32O9,possibly known,daphnegiraldigin,[M+H]+,none,12,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,"2,4-olefinic",others,1,C7,C7*1,"benzoyl(1.54),benzoyl(3.50)",benzoyl,A1,B1,C1,none,R92,none,none,,,,,,A1B1C1,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00007656,C27H30O8,482.529,Top5,0.676,Low Confidence
28,67,[990],990,559.2172,2.5,0,0,0,0,0,0,0,25100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,D,C29H34O11,possibly undescribed,none,[M+H]+,none,13,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C9,C9*1,"acyl(0.26),benzoyl(0.42),coumaroyl(0.16),feruloyl(0.37),benzoyl(9.60)",coumaroyl,A1,B1,C1,none,R94,none,none,,,,,,A1B1C1,OCC12OC1C1C3OC4(C=Cc6ccc(O)cc6)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00007658,C29H32O9,524.566,Top2,0.936,Low Confidence
29,269,[9475],9475,645.2532,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4458664.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,D,C33H40O13,possibly undescribed,none,[M+H]+,none,14,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C13,C13*1,"benzoyl(0.02),benzoyl(0.06)",none,A1,B1,C1,none,none,none,none,,,,,,A1B1C1,OCC12OC1C1C3OC4OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00000001,C21H26O8,406.431,Top1,1,Low Confidence
30,76,[1054],1054,543.2222,2.6,0,0,0,0,0,0,0,4230591.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,D,C29H34O10,possibly known,yuanhuapine,[M+H]+,none,13,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C9,C9*1,"acyl(0.07),benzoyl(0.11),coumaroyl(0.10),feruloyl(0.10),benzoyl(1.10)",coumaroyl,A1,B1,C1,none,R94,none,none,,,,,,A1B1C1,OCC12OC1C1C3OC4(C=Cc6ccc(O)cc6)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00007658,C29H32O9,524.566,Top4,0.853,Low Confidence
31,507,[996],996,485.2169,2.6,0,0,0,0,0,0,654122.9672,13100000,0,0,1041143.629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168261.9032,0,0,0,0,0,0,0,0,0,0,0,210154.5246,0,0,0,0,0,0,0,0,0,7,0,D,C27H32O8,possibly known,daphne factor F4,[M+H]+,none,12,"1,2-dihydro-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C7,C7*1,"benzoyl(0.68),feruloyl(0.36),benzoyl(1.60)",benzoyl,A2,B1,C1,none,R92,none,none,,,,,,A2B1C1,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C1(O4)C1CC(C)C(=O)C1(O)C2O,PD00007752,C27H32O8,484.545,Top2,0.998,High Confidence
32,540,[1432],1432,344.2432,2.6,0,2048226.49,3673959.604,0,2306294.165,851632.8828,902468.6806,1165005.636,3544192.358,0,0,1251636.31,5090442.13,3652214.472,1996544.723,1523492.843,1975099.648,0,0,0,649998.3709,1001720.619,3223155.56,0,0,1450226.332,0,380242.3506,0,450796.6876,0,0,0,319893.676,0,562825.0791,0,0,0,171455.1889,800091.2145,0,0,0,7183677.712,7852490.172,0,0,0,4831610.429,0,1049392.327,0,9091626.607,18300000,0,6,0,D,C18H33O5N1,possibly undescribed,none,[M+NH4]+,none,3,"1,2-dihydro-3-one","5-ol-6,7-ene","9,13,14-orthoester",no C-12,no C-18,"2,4-olefinic",others,1,C-2,C-2*1,"nonenoyl(0.90),tetradecatrienoyl(0.03)",none,A2,B3,C1,none,none,none,none,,,,,,A2B3C1,OCC1=CC2C3OC4OC3(C(=C)C)CC(C)C2(O4)C2CC(C)C(=O)C2(O)C1O,PD00000042,C21H28O7,392.448,Top1,1,Low Confidence
