row ID,row m/z,row retention time,Dta-ap Peak area,Dbh-w Peak area,Dax-tl Peak area,Dgr-ap Peak area,Dfe-w Peak area,Dgem-w Peak area,Dgi-w Peak area,Dac-tl Peak area,Dyu-w Peak area,Dau-tl Peak area,Dre-tl Peak area,Dpa-tl Peak area,Dpe-w Peak area,Dat-ls Peak area,Dki-w Peak area,Dho-w Peak area,Dde-w Peak area,Dod-fr Peak area,Dod-b Peak area,Dod-l Peak area,Dod-r Peak area,Dod-s Peak area,Dje-fr Peak area,Dje-ft Peak area,Dge-fr Peak area,Dps-fr Peak area,Dps-ft Peak area,Dpo-fr Peak area,Dpo-l Peak area,Dpo-s Peak area,Wdo-w Peak area,Wla-w Peak area,Wsc-w Peak area,Wpi-w Peak area,Wli-w Peak area,Wpa-w Peak area,Win-l Peak area,Win-s Peak area,Wca-w Peak area,Wal-w Peak area,Wli-ap Peak area,Wli-r Peak area,Wst-w Peak area,Wnu-w Peak area,Wlu-w Peak area,Wmi-tl Peak area,Wde-w Peak area,Wtr Peak area,Ega-w Peak area,Eal-w Peak area,Ech-ft Peak area,Ech-b Peak area,Ech-l Peak area,Ech-s Peak area,Ech-fr Peak area,Sch-r Peak area
11,365.2813704,13.52950639,3.37E+07,2.98E+07,3.32E+07,4.11E+07,6874941.941,6446697.217,4193105.357,6597955.656,6376328.712,3330626.811,3901026.633,5965961.054,3.93E+07,5852828.433,0,0,0,0,0,0,4824764.612,5262958.771,0,3.61E+07,0,0,2.71E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,425.2676849,7.8947974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,591.2589092,7.810607075,416424.8541,0,0,271241.4859,175436.0071,0,0,0,0,0,0,346826.3437,0,182268.4344,0,0,0,0,0,0,245751.7878,0,0,2.92E+07,0,0,1.68E+08,0,0,0,0,947334.055,1.23E+07,0,1.37E+07,0,0,0,0,0,1.93E+07,1.18E+07,246616.7961,0,849753.7922,0,1.11E+07,0,0,0,0,0,0,0,0,0
14,628.1947949,14.12668023,1.41E+07,1.59E+07,1.49E+07,1.49E+07,1.40E+07,1.80E+07,1.52E+07,1.40E+07,1.33E+07,1.68E+07,1.31E+07,1.21E+07,1.21E+07,1.57E+07,0,1.45E+07,5461054.197,2.25E+07,0,0,5219858.063,4615272.429,1.12E+07,4.05E+07,6825297.824,0,2.09E+07,5305077.035,1892241.485,2192379.202,6561885.367,8811561.46,9658004.552,9603943.965,8174609.494,1.03E+07,8159250.741,7950272.789,6824378.092,9362760.429,9924617.161,9291936.949,1.04E+07,3870006.522,1484332.188,463593.8719,508361.183,3671028.495,4190121.31,1674427.857,552739.3424,1.11E+07,6.62E+07,1.35E+07,3770222.547,4659529.192
15,781.3586731,13.760427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,775.3679716,10.23628177,3575075.771,0,0,0,0,0,0,0,0,0,0,611928.8588,0,0,0,8.25E+07,0,0,0,0,6380419.218,0,1194476.847,2.33E+07,0,0,9040970.941,0,0,6996557.122,0,0,0,0,0,0,4048369.318,1.68E+07,0,0,0,0,0,0,3627873.601,0,0,1229502.768,0,0,0,0,0,0,0,5.20E+07
17,643.2896729,10.0905765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39E+07,0,0,0,0,0,0,0,297268.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1331.480225,8.7321093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1326.523438,8.7321093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,970.4214134,8.989209,0,0,0,4225507.416,0,0,0,0,0,0,0,5488395.887,0,0,0,0,1440324.583,0,0,0,1.27E+07,0,0,1.92E+07,0,0,8248074.505,0,0,0,0,0,0,0,0,0,0,514577.1618,0,0,0,0,0,0,0,0,0,6310115.849,0,0,0,0,0,0,0,0
21,337.1666315,11.87709528,2.14E+07,1.46E+07,1.43E+07,4.85E+07,1.65E+07,2.69E+07,1.93E+07,1.34E+07,1.28E+07,1.60E+07,1.01E+07,1.17E+07,2397439.257,2.27E+07,0,764154.0281,2202266.422,0,0,355900.6936,1.69E+07,1241899.105,0,2.62E+07,0,0,1.11E+07,0,0,3.04E+07,2.51E+07,2.83E+07,0,2.67E+07,0,2.50E+07,0,330991.2425,0,2.44E+07,2.50E+07,2.58E+07,1.99E+07,1401161.756,7015347.317,3512633.765,0,0,9228192.854,2141787.843,4133100.366,0,0,0,1.97E+07,5.52E+07
22,368.4247834,12.91861208,1.97E+08,1.99E+08,1.94E+08,2.03E+08,1.42E+08,1.62E+08,1.40E+08,1.41E+08,1.34E+08,1.44E+08,0,0,1.96E+08,0,0,0,0,3.86E+07,0,0,0,0,3.81E+07,1.90E+08,7.14E+08,3.91E+07,1.93E+08,0,0,0,1.76E+08,1.57E+08,1.58E+08,1.70E+08,1.66E+08,1.73E+08,1.55E+08,1.52E+08,1.72E+08,1.60E+08,1.64E+08,1.61E+08,1.56E+08,1.89E+07,0,0,0,0,2.48E+07,0,1.77E+07,3.85E+07,6.35E+07,5.09E+07,2.49E+07,2.17E+07
23,637.2415924,8.734482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90E+07,0,0,2131344.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,393.2050538,13.6061227,984390.1187,3962147.33,4631437.664,1065850.632,622560.661,2369849.824,856845.2332,380465.8924,863052.644,604794.585,1677096.75,1029015.464,1812629.972,1951117.937,0,0,0,0,0,0,0,0,0,1.58E+07,0,0,708248.3973,0,0,0,1299920.703,747271.4251,1195319.498,999162.3985,862157.9721,0,819434.7409,1359894.789,0,866031.65,1780427.231,1256426.181,612177.7101,0,0,0,0,0,0,0,0,0,0,0,0,0
25,395.2200482,13.09266759,4.31E+07,3.85E+07,3.66E+07,3.65E+07,3.13E+07,3.65E+07,3.54E+07,3.77E+07,2.78E+07,2.89E+07,1.90E+07,2.36E+07,4.02E+07,3.05E+07,2.83E+07,0,0,0,0,0,1.99E+07,0,0,3.85E+07,0,0,3.54E+07,1.23E+07,3.62E+07,3.17E+07,4.33E+07,3.71E+07,4.11E+07,4.38E+07,4.37E+07,3.93E+07,3.85E+07,4.10E+07,4.48E+07,4.01E+07,4.52E+07,3.39E+07,2.80E+07,1.43E+07,0,2.65E+07,3.08E+07,0,0,3.20E+07,0,0,2.80E+07,0,0,0
26,637.3362013,11.98336057,1228901.275,0,0,0,0,0,0,0,0,0,217074.0246,892362.788,0,225327.6426,0,0,0,0,773271.5887,0,0,0,0,1.84E+07,0,0,1.38E+08,0,0,0,0,589512.4865,2.63E+07,0,7613411.13,0,0,0,0,0,3727730.911,0,0,0,279022.946,0,5.99E+07,0,0,0,0,0,0,0,230909.8124,0
27,613.2395519,8.829983936,2390951.007,0,0,0,0,0,0,1130098.656,0,0,0,1251817.595,0,0,0,0,0,0,0,0,0,0,0,1.79E+07,0,0,3.34E+07,0,0,0,0,570573.0352,4946605.153,0,7834945.877,0,0,0,0,0,2.02E+07,1.20E+07,0,0,0,0,2343309.928,0,0,0,0,0,0,0,0,0
28,742.6057974,14.45249469,1.02E+08,9.15E+07,1.09E+08,1.13E+08,0,0,0,0,0,0,0,0,8.95E+07,0,0,0,0,0,0,0,0,0,0,1.07E+08,0,0,1.11E+08,0,0,0,1905314.99,0,0,978279.5614,1524504.668,1848638.46,0,814636.0206,1114525.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,398.2323198,11.15011975,1.76E+08,1.84E+08,1.73E+08,1.87E+08,2255242.021,1985847.118,1143292.237,5316756.759,1445828.92,1812042.293,1904634.791,1.18E+07,1.78E+08,1771645.989,6.53E+07,5.12E+07,6.04E+07,4.11E+07,4273185.138,1.01E+07,4615265.743,3231563.09,3.23E+07,1.62E+08,8.36E+08,6.13E+07,1.66E+08,4.21E+07,5.53E+07,2.89E+08,4544475.289,3852442.733,3616778.135,3285028.488,4226358.467,5779583.852,2756342.15,2267527.531,3757978.253,4362780.102,4496446.428,3502057.436,3070673.398,288986.4428,5.06E+07,6.90E+07,6.40E+07,5.58E+07,1.01E+07,5.63E+07,4.66E+07,3.55E+07,9.93E+07,3.27E+07,1.19E+07,0
30,629.2132988,8.833175375,0,0,0,0,0,0,0,1174187.506,0,0,0,964230.8571,0,0,0,0,0,0,0,0,0,0,0,1.71E+07,0,0,0,0,0,0,0,0,3790080.723,0,6009457.167,0,0,0,0,0,1.74E+07,9037757.446,0,0,0,0,2014899.194,0,0,0,0,0,0,0,0,0
31,605.2381226,7.0051277,0,0,0,0,0,0,1.33E+07,8.73E+07,0,0,5.98E+07,0,0,1261447.72,0,0,0,0,0,0,0,0,0,1.27E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,792.3946505,10.24373891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.10E+07,0,0,0,0,4033430.55,2185321.339,0,1.30E+07,0,0,4540547.97,0,1.72E+07,4885940.394,0,0,0,0,1.48E+07,0,1526551.276,9449974.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90E+07
33,693.2075195,8.7321093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,566.4278412,6.868895692,0,912384.9586,0,0,0,1.19E+07,0,0,0,0,0,1467188.933,3.23E+07,0,0,0,0,0,0,0,0,0,0,2.30E+07,0,0,5407608.897,0,0,0,0,6.02E+07,4984440.635,0,2577370.87,0,0,0,0,2.30E+07,1259753.265,0,0,1.06E+07,0,0,0,0,0,0,0,0,0,0,0,0
35,759.3734538,13.57137217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5160331.024,0,0,0,0,0,0,0,1.31E+07,0,0,1022381.014,0,0,5130401.603,0,0,0,0,0,0,0,2759556.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2835042.728
36,380.2091596,13.39749218,8974438.633,1.30E+07,7698998.917,8194823.713,1.99E+07,2.22E+07,1.50E+07,1.72E+07,1.46E+07,9821321.511,5051413.723,5359694.277,5737227.566,1.75E+07,0,0,0,0,0,0,0,0,0,1.85E+07,0,0,8856636.277,1353179.765,1.38E+07,1.45E+07,2.07E+07,1.70E+07,2.15E+07,1.85E+07,2.06E+07,2.46E+07,2532704.21,6016189.29,2.56E+07,2.00E+07,1.70E+07,2.17E+07,1.52E+07,2054676.886,0,0,0,0,0,0,0,0,0,0,0,0
37,655.2533569,9.231011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,481.1847,8.7669821,0,0,0,0,0,0,0,0,0,0,0,159588.3998,0,0,0,0,0,0,0,0,0,0,0,1.20E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,554.1759515,12.46933729,4994948.309,6089489.743,5170712.604,5163099.393,3739599.429,7996936.161,3869864.793,3731735.47,3961555.451,3806603.641,5905788.972,5567123.575,4769976.286,9029027.901,867504.8134,0,0,1.12E+07,0,0,4222890.583,4060464.916,5620290.94,1.91E+07,2878408.986,3966203.544,8595019.626,4248077.916,1624629.821,2106091.252,2091115.048,2145205.954,1928021.504,2438553.754,2865395.683,2447018.741,2449312.308,2105825.806,2832492.636,2402366.166,3042844.072,2258528.93,2170779.751,3318867.788,0,0,0,0,2338188.359,0,0,5305927.306,3.29E+07,7053576.765,0,4511559.261
40,1036.233175,12.85663942,0,0,0,0,0,0,0,0,4467521.209,0,0,0,0,0,0,0,1496689.663,0,7316930.2,0,0,0,0,1.09E+07,0,3275033.571,8705432.719,0,0,0,0,0,0,0,3867495.966,0,0,0,0,0,0,0,0,0,3082538.079,3574450.029,1943234.605,0,0,3265247.514,3056690.116,0,0,0,0,0
41,630.1935194,14.14335759,3731065.142,4540614.899,3857519.256,3881932.927,3813327.658,6190264.675,4117494.63,3857912.104,3320038.218,4418753.129,3378581.946,2597594.969,3831756.854,4826085.952,166588.8774,6467715.533,1996827.814,0,0,0,1575367.998,0,0,1.49E+07,2469651.847,0,6554758.543,1397782.38,289705.1489,750917.5242,1762672.029,1871613.758,0,2254307.046,1518386.971,0,1678902.404,1661933.132,1676586.249,1823363.935,2429727.517,1745787.87,2058491.736,1264198.148,0,0,0,0,0,0,0,0,2.86E+07,0,0,0
42,656.532062,14.17784443,1.83E+07,2.06E+07,1.62E+07,0,6392182.434,9124322.308,5242391.617,6117910.139,5537322.391,1.05E+07,4219768.39,4635391.976,2.02E+07,9737298.855,0,2454829.651,0,0,0,0,2933541.522,0,0,2.43E+07,0,0,2.37E+07,0,0,0,1.07E+07,6599212.466,9180893.534,1.07E+07,8793254.871,0,0,6146495.076,0,9251534.335,7903601.564,9126440.741,7555398.397,0,0,0,0,0,0,0,270995.2381,0,0,0,0,0
43,462.3110275,7.83446945,0,0,0,0,2444036.382,0,0,0,0,0,0,0,0,2.62E+08,0,0,0,0,0,0,5128805.497,0,0,1.33E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284295.0183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48E+08
44,593.2377319,6.6256909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728023.426,0,0,0,0,0,0,0,0,0
45,649.2999968,10.20208535,2.62E+07,4179944.422,0,1423531.201,6078751.104,755175.8253,2.86E+07,3.31E+07,1350885.7,0,1.08E+08,3339055.459,226064.9515,3057313.211,0,0,0,0,6087085.776,0,3.06E+07,9587782.462,0,1.29E+07,0,0,1.32E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,636.4378884,14.69614641,1.74E+07,2.50E+07,2.18E+07,3.33E+07,2.49E+07,1.75E+07,1.02E+07,2.02E+07,2.20E+07,1.31E+07,1.96E+07,0,1.02E+07,0,0,0,0,1618557.58,0,0,0,0,0,3.75E+07,0,0,5.45E+07,0,0,7342671.235,0,1.58E+07,0,0,0,2.20E+07,2.35E+07,0,0,2.37E+07,1.98E+07,0,0,0,0,0,0,0,0,0,0,0,200901.9767,0,0,0
47,629.2139718,8.472572271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13E+07,0,0,7.55E+07,0,0,0,0,0,630084.6301,0,1740209.751,0,0,0,0,0,1048303.762,388083.7859,0,0,0,0,1864944.865,0,0,0,0,0,0,0,0,0
48,607.4169293,14.11561833,0,1.07E+07,0,2.14E+07,0,1317521.774,9287302.705,2671381.977,1.05E+07,1.13E+07,2.21E+07,2.38E+07,0,1.86E+07,0,0,0,0,0,0,0,0,0,4.62E+07,0,0,5.39E+07,8678691.474,0,8979522.544,4830996.414,5443356.781,195288.7252,8758633.096,9574512.148,797680.5532,4587806.467,1.32E+07,1141069.559,6388707.205,1.36E+07,1527573.775,7080198.592,6412648.538,0,0,220957.0335,0,1827811.377,0,0,144261.7439,0,0,1249261.2,666522.021
49,355.2837894,10.41021391,3527757.65,1484844.023,2024501.622,2.76E+07,1078803.79,2453008.413,318722.5228,2063257.621,1442917.972,1781740.244,3764346.362,1778616,536629.8355,1255200.964,0,0,0,0,0,0,2246048.87,0,0,1.11E+07,0,0,1.05E+07,0,0,5009520.857,678590.3709,721671.0977,591108.6676,473844.0476,846944.9232,0,0,0,803234.5756,1010086.077,0,589141.2921,0,0,1747856.141,717833.5531,1980351.596,0,1090477.542,0,7670180.077,0,0,4265886.962,0,1.22E+07
50,598.3797026,6.990569805,9081660.876,7227486.725,1.02E+07,7041644.485,5137080.551,7309845.597,845079.9986,4101043.595,4064369.319,6028918.509,1648840.331,9438124.734,3628502.696,3509680.193,0,1189036.658,0,0,8514238.634,2940770.181,1502467.954,0,0,1.05E+07,1669934.901,9359296.95,5.86E+07,0,0,4265675.768,1.18E+07,1795633.474,1595546.242,3789426.741,2155645.706,6434946.903,2.10E+07,5776916.202,4.27E+07,4915047,2353495.08,1379996.964,2177713.124,1955882.486,0,0,0,1023471.439,2.58E+07,0,0,1.50E+07,0,0,4661901.874,2820500.513
51,700.5570009,14.09673119,2.16E+07,2.41E+07,2.01E+07,2.23E+07,7392301.954,1.16E+07,5749624.667,7861082.688,6380110.514,9335493.715,3575206.995,5342123.06,2.00E+07,1.13E+07,0,0,0,0,0,0,0,0,0,2.69E+07,0,0,2.28E+07,0,0,0,1.43E+07,9401110.832,9662643.889,1.17E+07,1.21E+07,1.66E+07,0,6559470.602,1.12E+07,1.00E+07,1.08E+07,7971277.09,8235071.445,0,0,0,0,0,312390.3853,4976040.811,0,759263.9933,0,0,0,0
52,427.2832947,8.6983489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,744.5822801,14.02471846,2.20E+07,2.24E+07,1.74E+07,1.97E+07,1.08E+07,8944203.493,4700687.599,6389503.821,4898382.151,0,8003565.94,3978486.187,1.94E+07,9215476.581,0,0,0,0,0,0,0,0,0,2.49E+07,0,0,1.78E+07,0,0,0,1.06E+07,9628146.407,0,0,9907361.241,1.39E+07,0,1183553.737,9007395.615,8226784.003,1.01E+07,5209384.932,5531772.796,0,0,0,0,0,0,0,0,0,0,0,5520940.5,0
54,670.5474418,12.72106657,1.39E+08,1.11E+08,0,1.10E+08,0,0,0,0,0,0,0,0,1.32E+08,0,0,0,0,0,0,0,0,0,0,1.40E+08,0,0,1.44E+08,0,818350.2723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,612.506074,14.27214456,1.58E+07,1.81E+07,1.36E+07,1.66E+07,6999024.091,1.14E+07,6991606.876,6503478.686,5339655.258,9291320.873,3355458.047,5494407.919,1.96E+07,0,2068438.11,0,0,0,0,0,2828815.131,1856219.503,0,2.40E+07,0,0,1.97E+07,0,0,0,295390.5991,1.24E+07,1501880.632,9544486.783,8362927.721,222780.3112,0,7327362.752,7302011.678,9273397.179,8199331.518,7977669.862,9450916.484,0,0,1843348.527,0,0,0,0,0,1109620.236,0,0,0,0
56,568.4792027,14.32348877,1.97E+07,1.90E+07,1.75E+07,1.96E+07,8081778.7,9806470.744,7005504.673,7426143.725,6924425.322,1.09E+07,4860466.081,5590704.805,1.59E+07,7017471.231,0,2385500.664,2428514.549,0,0,0,2367942.966,2160226.041,0,2.36E+07,0,0,1.92E+07,0,0,0,1.14E+07,9595525.947,1.00E+07,1.07E+07,8468571.742,1.16E+07,4737722.637,6708908.861,9699957.266,1.00E+07,9321666.979,9649661.957,7912852.007,240932.6188,2873147.603,0,0,2860084.16,456412.7801,2053656.237,0,1473135.631,0,0,0,0
57,954.6165701,14.66580869,0,0,0,0,0,0,0,654472.4035,475220.321,0,0,0,0,0,0,1166743.259,0,0,0,0,0,0,0,1.20E+07,0,0,7.01E+07,0,0,0,419733.4034,0,8423196.263,7632373,0,2.15E+07,0,0,1.12E+08,0,2.12E+07,0,0,0,0,0,0,4963089.799,0,332166.3365,0,0,0,0,0,0
58,992.2069143,12.989747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3874564.588,1.09E+07,0,3251718.929,1.31E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2935889.666,0,0,0,0,3080714.918,0,0,0,0,0,0
59,609.2694009,8.25208745,2312444.952,0,0,972312.8597,288477.3457,0,1695859.399,943611.9031,0,235473.0308,0,1332356.329,0,1317913.832,0,802368.8654,531652.1546,0,0,235136.5099,0,0,0,1.14E+07,2.52E+07,0,1.05E+08,0,358700.9614,0,0,1265943.652,6810585.134,0,1.44E+07,0,0,0,0,0,6.16E+07,3.49E+07,0,0,7339402.005,0,4.33E+07,0,0,0,0,0,0,0,0,0
60,309.2420898,10.70100727,3.76E+07,1.17E+08,2.16E+07,0,3.86E+07,0,2.47E+07,2.67E+07,2.35E+07,0,2.20E+07,1.74E+07,1.22E+07,1.33E+08,0,6117662.602,4928899.266,7457730.622,0,4529352.528,0,0,1.91E+07,2.35E+07,4.22E+07,0,3.62E+07,0,0,0,0,0,0,0,0,0,554130.8093,1162728.509,0,0,3.21E+07,1.84E+07,710695.4791,1112236.173,0,8964190.791,0,772766.054,0,2.28E+07,185967.3827,962949.2164,0,0,0,0
61,573.408378,8.493145269,0,6114961.024,5788214.758,6921673.722,4984183.227,3436042.769,2232710.187,0,3299242.374,2631997.308,4168336.15,4494163.097,0,4314272.461,0,0,0,0,0,2471246.276,3712876.89,0,0,8426092.825,773123.2847,0,9142750.92,0,3365202.424,2964220.03,3212120.506,0,0,0,0,0,3697293.265,3695313.366,4668197.239,1095091.115,0,981278.329,0,0,0,0,2179679.313,0,0,2875733.634,0,0,0,0,0,0
62,850.4003092,8.055728867,0,0,0,0,0,0,0,0,0,0,0,0,9784699.718,0,0,0,0,0,0,0,0,0,0,8969766.806,0,0,1.67E+08,0,0,0,0,0,0,0,0,0,996461.1821,1.02E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6256313.642
